k,observed_fp_mean,observed_fp_ci_lo,observed_fp_ci_hi,theoretical_fp
3,0.01998298,0.01995578558,0.02001017442,0.01999319258
4,0.01451366,0.01449000832,0.01453731168,0.01451154942
5,0.01213815,0.01211645743,0.01215984257,0.01214604378
6,0.01184525,0.011823709,0.011866791,0.01184334846
7,0.01196097,0.01193932509,0.01198261491,0.01195835995
8,0.01373893,0.01371550108,0.01376235892,0.01373632423
9,0.01468452,0.01466029618,0.01470874382,0.01469511054
10,0.01710578,0.01707912196,0.01713243804,0.01714439525
11,0.01982901,0.01980000033,0.01985801967,0.01984905039
12,0.02322715,0.02319557656,0.02325872344,0.02324912095
13,0.02670818,0.02667398206,0.02674237794,0.02671822827
14,0.02942658,0.02939090997,0.02946225003,0.02945745563
